osm_id,parent_id,jurisd_base_id,jurisd_local_id,name,name_en,parent_abbrev,abbrev,wikidata_id,lexlabel,isolabel_ext,phone_prefix,info
2444378,272644,862,492791,Distrito Capital,Capital District,VE,A,492791,a,VE-A,,
2267150,272644,862,190922,Anzoátegui,Anzoátegui,VE,B,190922,b,VE-B,,
3395162,272644,862,41146,Apure,Apure,VE,C,41146,c,VE-C,,
272746,272644,862,190687,Aragua,Aragua,VE,D,190687,d,VE-D,,
3763132,272644,862,43271,Barinas,Barinas,VE,E,43271,e,VE-E,,
2269155,272644,862,191164,Bolívar,Bolívar,VE,F,191164,f,VE-F,,
272745,272644,862,191186,Carabobo,Carabobo,VE,G,191186,g,VE-G,,
272662,272644,862,205460,Cojedes,Cojedes,VE,H,205460,h,VE-H,,
2269792,272644,862,202071,Falcón,Falcón,VE,I,202071,i,VE-I,,
272663,272644,862,202075,Estado Guárico,Guárico State,VE,J,202075,j,VE-J,,
272744,272644,862,205796,Lara,Lara,VE,K,205796,k,VE-K,,
272635,272644,862,165582,Mérida,Merida,VE,L,165582,l,VE-L,,
272673,272644,862,191174,Miranda,Miranda,VE,M,191174,m,VE-M,,
272670,272644,862,205776,Monagas,Monagas,VE,N,205776,n,VE-N,,
2269770,272644,862,204876,Nueva Esparta,Nueva Esparta,VE,O,204876,o,VE-O,,
272661,272644,862,205784,Portuguesa,Portuguesa,VE,P,205784,p,VE-P,,
272671,272644,862,205824,Sucre,Sucre,VE,R,205824,r,VE-R,,
272633,272644,862,41144,Táchira,Tachira,VE,S,41144,s,VE-S,,
272634,272644,862,202068,Trujillo,Trujillo,VE,T,202068,t,VE-T,,
272743,272644,862,201121,Yaracuy,Yaracuy,VE,U,201121,u,VE-U,,
272632,272644,862,43269,Zulia,Zulia,VE,V,43269,v,VE-V,,
3399075,272644,862,130343,Dependencias Federales,Federal Dependencies,VE,W,130343,w,VE-W,,
2442703,272644,862,205843,Estado Vargas,Vargas state,VE,X,205843,x,VE-X,,
272669,272644,862,201137,Delta Amacuro,Delta Amacuro,VE,Y,201137,y,VE-Y,,
2269815,272644,862,170453,Amazonas,Amazonas,VE,Z,170453,z,VE-Z,,
